City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,zhezqazghan,47.7833,67.7667,-3.68,86,40,3.0,KZ,1704283739
83,korsakov,46.6328,142.7813,-18.09,82,90,0.46,RU,1704284072
84,tchintabaraden,15.8969,5.7985,29.68,8,55,5.61,NE,1704284072
85,banda aceh,5.5577,95.3222,27.44,77,100,2.87,ID,1704283775
86,namibe,-15.1961,12.1522,26.14,54,70,5.37,AO,1704283413
87,fisterra,42.9049,-9.2629,14.86,84,100,6.27,ES,1704283656
88,west mackay,-21.1481,149.1605,26.46,80,5,1.92,AU,1704284073
89,el calafate,-50.3408,-72.2768,12.53,68,99,3.38,AR,1704283649
90,andalgala,-27.5819,-66.3165,18.85,65,3,0.83,AR,1704284074
91,manicore,-5.8092,-61.3003,26.17,87,100,1.33,BR,1704284074
92,anqing,30.5092,117.0506,8.52,57,0,1.42,CN,1704284074
93,carnarvon,-24.8667,113.6333,27.73,61,0,11.6,AU,1704283525
94,hamilton,39.1834,-84.5333,-1.79,91,0,2.57,US,1704283670
95,sao vicente,-23.9631,-46.3919,30.71,60,100,1.54,BR,1704284076
96,vilyuysk,63.7553,121.6247,-36.74,100,97,1.1,RU,1704283713
97,kodinsk,58.6881,99.1844,-6.42,87,100,5.34,RU,1704283704
98,hermanus,-34.4187,19.2345,24.57,64,65,8.69,ZA,1704283687
99,cabo san lucas,22.8909,-109.9124,18.2,79,6,2.16,MX,1704283789
100,lebu,-37.6167,-73.65,15.07,85,45,6.86,CL,1704283529
101,meru,0.0463,37.6559,23.07,60,50,2.55,KE,1704284077
102,hadibu,12.65,54.0333,26.29,57,47,5.72,YE,1704283625
103,arteche,12.2645,125.4048,25.58,80,77,1.7,PH,1704283794
104,qaqortoq,60.7167,-46.0333,-6.55,71,100,4.22,GL,1704283674
105,kismayo,-0.3582,42.5454,29.3,65,10,7.63,SO,1704284078
106,adrar,20.5022,-10.0711,25.38,11,83,7.8,MR,1704283742
107,olonkinbyen,70.9221,-8.7187,-0.84,96,100,5.86,SJ,1704283666
108,polyarnyy,69.1989,33.4478,-15.83,80,100,10.83,RU,1704283673
109,jatai,-17.8814,-51.7144,23.88,81,100,0.79,BR,1704284079
110,straldzha,42.6,26.6833,7.02,82,100,2.54,BG,1704284080
111,thompson,55.7435,-97.8558,-22.92,88,58,1.78,CA,1704283677
112,west island,-12.1568,96.8225,27.99,78,40,5.66,CC,1704283687
113,hampton bays,40.869,-72.5176,5.03,81,66,2.24,US,1704284081
114,ugoofaaru,5.6667,73.0,28.14,74,38,4.54,MV,1704283773
115,sur,22.5667,59.5289,25.33,55,0,3.98,OM,1704284083
116,mangaratiba,-22.9597,-44.0406,25.48,89,100,1.62,BR,1704284083
117,haiku-pauwela,20.9219,-156.3051,22.8,72,0,3.09,US,1704283722
118,florence,43.7667,11.25,17.42,76,75,3.13,IT,1704283588
119,naxos,37.1056,25.3764,19.24,62,20,5.81,GR,1704284084
120,hithadhoo,-0.6,73.0833,28.59,72,13,2.19,MV,1704284084
121,pelabuhanratu,-6.9875,106.5514,25.74,95,100,0.27,ID,1704284085
122,margaret river,-33.95,115.0667,21.88,52,0,5.84,AU,1704283638
123,sebdou,34.637,-1.3314,17.61,18,9,2.7,DZ,1704284085
124,garachico,28.7781,-17.7646,20.06,78,75,1.54,ES,1704284086
125,grande prairie,55.1667,-118.8027,-9.9,92,100,1.54,CA,1704284034
126,kolosovka,56.4678,73.611,-32.91,98,6,2.16,RU,1704284086
127,ilha de mocambique,-15.0342,40.7358,28.94,74,77,4.29,MZ,1704284086
128,dampit,-8.2116,112.7493,23.11,95,100,1.04,ID,1704284087
129,santa cruz,-17.8,-63.1667,25.07,85,100,3.5,BO,1704283820
130,erdenet,49.0333,104.0833,-8.16,80,33,9.74,MN,1704284061
131,chupaca,-12.0667,-75.2833,11.38,81,100,1.46,PE,1704284088
132,jindabyne,-36.4167,148.6333,16.43,93,100,0.45,AU,1704284088
133,sandnessjoen,66.0217,12.6316,-6.94,32,0,3.6,NO,1704284089
134,hassi messaoud,31.6804,6.0729,17.92,42,0,1.03,DZ,1704284089
135,porbandar,21.6422,69.6093,26.38,32,0,3.73,IN,1704284089
136,chivilcoy,-34.8957,-60.0167,24.6,56,1,4.37,AR,1704284090
137,lata,40.1629,-8.3327,13.37,89,100,0.8,PT,1704284090
138,kostomuksha,64.571,30.5767,-29.98,100,98,0.89,RU,1704284091
139,san carlos,9.6612,-68.5827,24.52,74,62,0.67,VE,1704284091
140,westport,41.1415,-73.3579,0.97,82,0,1.54,US,1704283773
141,chonchi,-42.6128,-73.8092,13.56,78,77,0.91,CL,1704283802
142,eufaula,31.8913,-85.1455,1.02,86,0,0.0,US,1704284092
143,sechura,-5.5569,-80.8222,21.99,82,100,5.5,PE,1704284093
144,saldanha,-33.0117,17.9442,22.97,63,17,5.39,ZA,1704283783
145,puerto santa,-8.9906,-78.6456,21.12,88,95,2.61,PE,1704284093
146,benguela,-12.5763,13.4055,26.82,71,99,6.16,AO,1704284094
147,verkhnevilyuysk,63.4453,120.3167,-38.9,100,91,0.52,RU,1704284094
148,i-n-salah,27.1935,2.4607,20.54,21,0,6.65,DZ,1704284095
149,pekalongan,-6.8886,109.6753,25.56,83,100,1.27,ID,1704284095
150,concordia,-31.393,-58.0209,20.99,89,15,3.13,AR,1704284095
151,suleja,9.1758,7.1808,33.55,15,28,2.11,NG,1704284097
152,mbandaka,0.0487,18.2603,32.51,46,55,0.82,CD,1704284097
153,georgetown,5.4112,100.3354,29.97,70,20,2.57,MY,1704283688
154,mount pearl,47.5166,-52.7813,-0.08,84,31,2.68,CA,1704283670
155,palikir - national government center,6.9248,158.1611,27.41,83,75,1.54,FM,1704284098
156,katsuura,35.1333,140.3,11.31,81,98,4.35,JP,1704283678
157,rodolfo sanchez taboada,31.7167,-116.5667,11.16,88,21,1.4,MX,1704283782
158,klyuchi,52.2667,79.1667,-14.28,94,100,3.12,RU,1704283677
159,ingeniero guillermo n. juarez,-23.9,-61.85,27.81,62,50,2.47,AR,1704284099
160,la passe,45.5549,-0.8967,14.13,77,27,11.83,FR,1704283831
161,miri,4.4148,114.0089,28.08,83,40,2.06,MY,1704284099
162,vila franca do campo,37.7167,-25.4333,18.27,99,16,4.6,PT,1704283731
163,aioun,16.6614,-9.6149,29.48,8,95,6.24,MR,1704283699
164,ceerigaabo,10.6162,47.368,19.95,21,71,4.24,SO,1704284101
165,lompoc,34.6391,-120.4579,11.08,87,75,2.68,US,1704283731
166,udachny,66.4167,112.4,-44.37,100,90,0.54,RU,1704283411
167,dudinka,69.4058,86.1778,-35.74,99,97,2.68,RU,1704283733
168,bettiah,26.8,84.5,18.44,23,5,2.37,IN,1704283922
169,igarka,67.4667,86.5833,-38.22,100,46,0.94,RU,1704284102
170,saint-philippe,-21.3585,55.7679,30.77,75,100,5.19,RE,1704283816
171,lubu,23.1742,112.2809,15.36,54,0,2.08,CN,1704284103
172,saipan,15.1355,145.701,27.39,89,40,4.63,MP,1704283731
173,labytnangi,66.6572,66.4183,-18.57,87,83,5.26,RU,1704283654
174,grand falls-windsor,48.9332,-55.6649,-4.19,87,51,2.64,CA,1704284104
175,new norfolk,-42.7826,147.0587,14.72,98,100,1.57,AU,1704283692
176,hawaiian paradise park,19.5933,-154.9731,19.94,90,100,3.6,US,1704283373
177,bretzfeld,49.1794,9.4383,12.57,73,96,10.26,DE,1704284105
178,brisas de zicatela,15.8369,-97.0419,23.5,61,1,1.98,MX,1704283655
179,trochtelfingen,48.3084,9.2449,9.95,80,91,9.43,DE,1704284106
180,wanning,18.8003,110.3967,20.76,82,62,5.09,CN,1704284106
181,uturoa,-16.7333,-151.4333,27.2,79,98,9.35,PF,1704283678
182,geraldton,-28.7667,114.6,31.23,19,0,8.23,AU,1704284107
183,ammon,43.4696,-111.9666,-7.97,85,0,3.09,US,1704284107
184,magadan,59.5667,150.8,-25.04,85,85,2.16,RU,1704283771
185,mhasvad,17.6333,74.7833,28.15,34,10,4.25,IN,1704284108
186,jumla,29.2747,82.1838,2.76,40,3,1.45,NP,1704284108
187,magburaka,8.7167,-11.95,33.04,44,37,0.95,SL,1704284109
188,villa gesell,-37.2639,-56.973,22.81,68,23,5.54,AR,1704284109
189,port mathurin,-19.6833,63.4167,28.27,74,95,3.07,MU,1704283632
190,afaahiti,-17.75,-149.2833,23.93,84,99,9.04,PF,1704283694
191,kayangel,8.0823,134.7173,28.85,76,47,4.66,PW,1704284110
192,oyama,36.3,139.8,10.88,51,96,0.86,JP,1704284002
193,holualoa,19.6228,-155.9522,20.91,87,100,2.57,US,1704283786
194,palanga,55.9175,21.0686,-9.99,73,0,6.17,LT,1704283764
195,ancud,-41.8697,-73.8203,14.34,85,71,0.64,CL,1704283422
196,cadale,2.7603,46.3222,27.7,64,88,10.91,SO,1704283832
197,lienz,46.8289,12.769,5.73,85,21,1.35,AT,1704284111
198,elko,41.0002,-115.5012,-1.31,65,87,2.68,US,1704283890
199,touros,-5.1989,-35.4608,29.85,64,27,4.75,BR,1704284112
200,quellon,-43.1167,-73.6167,15.06,80,81,2.11,CL,1704284112
201,wenchang,30.904,118.4887,6.6,68,3,0.47,CN,1704284112
202,fale old settlement,-9.3852,-171.2468,28.84,77,48,5.39,TK,1704284113
203,tazacorte,28.629,-17.9293,21.54,89,75,1.34,ES,1704283757
204,rio grande,-32.035,-52.0986,25.06,81,96,8.17,BR,1704283658
205,salekhard,66.53,66.6019,-18.3,87,69,6.9,RU,1704284114
206,aldama,22.9167,-98.0667,18.61,91,99,2.74,MX,1704284114
207,san sebastiano,45.6497,10.2643,12.85,69,68,2.02,IT,1704284114
208,sitangkai,4.6628,119.3928,28.32,78,72,4.48,PH,1704284115
209,vilyuchinsk,52.9306,158.4028,-12.08,75,27,3.44,RU,1704283708
210,port saint john's,-31.6229,29.5448,26.39,70,42,7.02,ZA,1704284116
211,santiago de cao,-7.9589,-79.2392,22.07,78,100,2.57,PE,1704284116
212,tsiombe,-25.3,45.4833,26.6,68,89,7.62,MG,1704284116
213,buka,40.8108,69.1986,8.18,48,58,1.53,UZ,1704284117
214,yazd,31.8972,54.3675,18.06,25,0,1.03,IR,1704284117
215,sola,-13.8833,167.55,27.25,80,100,4.62,VU,1704283623
216,nabire,-3.3667,135.4833,25.12,92,100,1.36,ID,1704284118
217,guanare,9.0418,-69.7421,24.64,68,78,0.88,VE,1704284118
218,bengkulu,-3.8004,102.2655,25.85,86,100,1.44,ID,1704283922
219,al lagowa,11.4,29.1333,31.81,9,5,4.8,SD,1704284118
220,kupang,-10.1667,123.5833,28.32,89,40,1.54,ID,1704284119
221,kingston,17.997,-76.7936,22.36,96,12,1.37,JM,1704283695
222,kapa'a,22.0752,-159.319,24.18,82,40,6.69,US,1704284119
223,borovskoy,53.8,64.15,-11.91,95,100,4.69,KZ,1704284120
224,los llanos de aridane,28.6585,-17.9182,19.86,89,75,1.54,ES,1704284121
225,arraial do cabo,-22.9661,-42.0278,24.92,94,100,4.12,BR,1704283793
226,tralee,52.2704,-9.7026,9.14,93,75,1.54,IE,1704283813
227,horta,38.5333,-28.6333,14.8,94,75,7.72,PT,1704283691
228,paracatu,-17.2222,-46.8747,21.95,93,100,1.59,BR,1704284122
229,minas de marcona,-15.2119,-75.1103,17.24,83,89,3.12,PE,1704283667
230,tayshet,55.9342,98.0044,-2.79,92,100,6.85,RU,1704284123
231,pionerskiy,54.9508,20.2275,-3.25,93,100,12.25,RU,1704283691
232,trairi,-3.2778,-39.2689,29.99,64,99,3.62,BR,1704284123
233,fort st. john,56.2499,-120.8529,-13.06,85,100,3.6,CA,1704284124
234,kununurra,-15.7667,128.7333,26.99,89,40,2.06,AU,1704283668
235,xining,36.6167,101.7667,-1.59,26,0,1.28,CN,1704284124
236,east london,-33.0153,27.9116,23.97,78,60,7.96,ZA,1704283630
237,revda,56.801,59.9303,-19.56,94,100,4.86,RU,1704284125
238,badger,64.8,-147.5333,-22.07,71,20,4.63,US,1704283434
239,thulamahashi,-24.7246,31.1994,31.77,43,37,1.92,ZA,1704283654
240,dalandzadgad,43.5708,104.425,-5.41,61,56,5.31,MN,1704284125
241,nikol'sk,53.7189,46.0712,-14.31,95,100,3.79,RU,1704284126
242,susuman,62.7833,148.1667,-36.9,100,99,0.4,RU,1704284126
243,akjoujt,19.6969,-14.4164,28.14,8,0,6.75,MR,1704284127
244,karratha,-20.7377,116.8463,27.45,64,0,8.18,AU,1704284127
245,tadine,-21.55,167.8833,24.81,75,39,5.81,NC,1704284127
246,st. john's,47.5649,-52.7093,0.38,83,30,0.89,CA,1704283452
247,lihue,21.9789,-159.3672,23.77,77,40,6.69,US,1704283635
248,norrtalje,59.758,18.705,-6.1,69,100,7.46,SE,1704284128
249,bykovo,55.6361,38.0803,-19.08,76,0,4.0,RU,1704284128
250,lerwick,60.1545,-1.1494,3.0,87,100,13.39,GB,1704283627
251,vangaindrano,-23.35,47.6,25.63,88,89,5.94,MG,1704284130
252,pandan,14.0453,124.1694,26.31,84,89,3.09,PH,1704283725
253,dellys,36.9172,3.9131,18.77,47,54,3.7,DZ,1704284130
254,labrador city,52.9463,-66.9114,-22.77,99,69,1.36,CA,1704283642
255,aubenas,44.6201,4.3899,12.79,69,98,1.82,FR,1704284131
256,gadzhiyevo,69.2551,33.3362,-16.46,81,100,11.41,RU,1704283774
257,bubaque,11.2833,-15.8333,26.36,59,41,1.29,GW,1704283680
258,acarau,-2.8856,-40.12,29.03,70,97,4.08,BR,1704283513
259,luancheng,37.8792,114.6517,0.09,94,0,1.77,CN,1704284132
260,kodiak,57.79,-152.4072,2.73,93,100,13.89,US,1704283647
261,san gabriel,34.0961,-118.1058,12.31,83,100,1.54,US,1704284132
262,luhansk,48.5671,39.3171,-1.04,57,95,6.38,UA,1704284132
263,avarua,-21.2078,-159.775,25.03,88,75,4.12,CK,1704283382
264,mount gambier,-37.8333,140.7667,16.48,90,96,5.08,AU,1704283697
265,manaure,11.7751,-72.4445,25.19,85,32,3.83,CO,1704284133
266,sittwe,20.15,92.9,21.95,70,0,3.7,MM,1704283547
267,cruzeiro do sul,-29.5128,-51.9853,24.18,83,90,0.04,BR,1704284134
268,worland,44.0169,-107.9554,-6.36,92,0,3.6,US,1704284120
269,vyerkhnyadzvinsk,55.7815,27.9443,-11.29,56,100,6.19,BY,1704284134
270,oppdal,62.5943,9.6912,-16.83,88,33,7.81,NO,1704284135
271,tual,-5.6667,132.75,27.84,79,100,1.93,ID,1704283560
272,regina,50.4501,-104.6178,-9.94,80,100,2.06,CA,1704284135
273,ploneour-lanvern,47.9,-4.2833,12.18,76,100,10.8,FR,1704284136
274,tazovsky,67.4667,78.7,-27.08,96,100,3.86,RU,1704283791
275,alice springs,-23.7,133.8833,30.75,25,77,2.06,AU,1704283820
276,mossel bay,-34.1831,22.146,20.96,91,98,6.83,ZA,1704284120
277,bamboo flat,11.7,92.7167,28.05,74,20,3.09,IN,1704284137
278,alstonville,-28.8333,153.4333,22.3,95,20,1.95,AU,1704284137
279,zarghun shahr,32.8473,68.4457,6.25,37,35,2.58,AF,1704284137
280,yangambi,0.8102,24.4336,34.84,35,88,0.68,CD,1704284138
281,jinghong,21.991,100.7341,17.79,71,31,1.32,CN,1704283949
282,madimba,-10.4,40.3333,28.73,79,99,4.43,TZ,1704284138
283,san patricio,28.017,-97.5169,11.94,86,98,5.36,US,1704283653
284,filey,54.21,-0.2892,8.21,93,99,1.05,GB,1704284139
285,fort stockton,30.894,-102.8793,4.31,71,0,4.12,US,1704284140
286,miracema do tocantins,-9.5618,-48.3967,25.79,84,99,2.37,BR,1704284140
287,al hudaydah,14.7978,42.9545,27.77,60,7,3.77,YE,1704284141
288,nar'yan-mar,67.6713,53.087,-12.16,92,100,8.49,RU,1704283760
289,zhengjiatun,43.5064,123.5064,-11.31,91,9,5.38,CN,1704284141
290,grand-lahou,5.1367,-5.0242,30.05,65,76,3.18,CI,1704284142
291,kidal,18.4411,1.4078,29.1,8,66,5.41,ML,1704283641
292,emirgazi,37.9022,33.8372,10.6,58,79,3.75,TR,1704284142
293,qamdo,31.1667,97.2333,-7.7,27,86,1.36,CN,1704283729
294,kiunga,-6.1219,141.2906,24.66,98,99,1.0,PG,1704283791
295,berezovyy,51.6667,135.7,-20.42,97,100,0.55,RU,1704284143
296,machico,32.7,-16.7667,24.45,87,40,2.06,PT,1704283810
297,kamina,-8.7386,24.9906,19.63,95,100,2.3,CD,1704283827
298,remire-montjoly,4.9167,-52.2667,29.02,70,40,5.66,GF,1704283708
299,chibougamau,49.9168,-74.3659,-11.21,92,100,2.06,CA,1704283821
300,black river,18.0264,-77.8487,23.08,86,8,1.72,JM,1704284145
301,gizo,-8.103,156.8419,29.38,71,99,1.8,SB,1704284145
302,tolanaro,-25.0319,46.9987,23.78,87,99,4.11,MG,1704283452
303,crane,31.3974,-102.3501,5.25,80,2,2.47,US,1704283697
